Postal_Code,Total_Estimate_Households_per_Zip,Total_Estimate_Married-couple_Family_households,Total_Estimate_Nonfamily_households,Median_Income(dollars),Mean_Income(dollars)
84531,187,58,42,25972,35020
84536,376,110,160,20385,28507
85003,4378,942,2928,48306,82992
85004,3584,611,2831,52000,81508
85006,9471,2635,4473,43567,56523
85007,5196,1529,2341,35642,57840
85008,22950,6407,10475,46724,59238
85009,14042,5601,3965,38228,52448
85012,3880,1120,2346,71296,112197
85013,10076,2641,5938,56526,86462
85014,13405,3113,8477,52408,75423
85015,16772,5709,6663,42038,56570
85016,17118,5442,9449,66759,107470
85017,11554,4512,3383,41893,51055
85018,17326,6419,8732,72032,136749
85019,7966,3392,1956,47290,60146
85020,16695,5761,8502,65224,100818
85021,16691,5706,6818,46358,74692
85022,23104,8675,10455,57660,81634
85023,13409,5145,5067,55111,77129
85024,10553,4942,3776,82618,104316
85027,16212,6771,6841,63591,78327
85028,7805,4462,2535,97865,126331
85029,17886,6045,7102,50067,59873
85031,8695,4317,1763,50740,62976
85032,28664,11684,11496,59214,77678
85033,16107,7533,2913,45492,57241
85034,2317,300,1286,33140,43529
85035,15206,5696,3556,45754,59442
85037,15084,7622,2898,61318,68869
85040,10792,3311,3469,43127,50329
85041,17415,8644,3508,58438,73233
85042,15168,6660,4152,66652,81796
85043,9838,4578,2250,55563,66902
85044,17550,7685,6815,79983,105192
85045,2587,1747,630,130169,157463
85048,13658,7708,3778,102675,133671
85050,11809,6971,3435,99306,137593
85051,15408,5911,5798,46363,61047
85053,11716,4766,4076,53500,68875
85054,4175,1423,2208,87384,124222
85083,6448,4794,952,124430,151551
85085,9352,5226,3123,98714,121758
85086,15537,10300,3773,103122,127553
85087,3229,1860,1086,92528,103443
85118,6470,4301,1821,68350,91679
85119,11442,5942,4572,58474,71524
85120,13855,5900,6404,44867,60382
85121,597,34,349,15583,30222
85122,19572,9255,5877,53772,84047
85123,4337,1642,1782,42254,55092
85128,4811,2011,1291,50785,69737
85131,4043,1666,973,40902,53660
85132,8465,4552,2396,58390,70403
85135,154,53,51,34500,39027
85137,967,485,354,55089,65638
85138,12433,7952,2624,76353,87640
85139,5645,3394,1327,61011,73730
85140,16084,11088,3101,76744,94843
85141,173,83,33,59250,66845
85142,23221,16330,3962,95901,113695
85143,13419,8558,2998,73036,81263
85145,1175,732,226,75035,78834
85147,1241,207,532,26136,40930
85172,496,229,124,57400,67520
85173,1375,437,719,33175,43865
85192,1062,421,479,55521,48945
85193,1635,1041,212,39813,75318
85194,3082,2169,619,62932,80063
85201,20510,6432,9008,46348,58458
85202,15919,5451,6962,54047,71010
85203,13123,6470,3817,60412,80826
85204,22969,9781,7575,55906,71375
85205,18304,8911,6897,57850,77982
85206,15759,6655,6777,51572,67395
85207,19041,11613,4841,77750,107296
85208,15184,7312,5347,54982,66040
85209,16815,9128,5444,64663,82134
85210,15048,4791,6402,46258,61878
85212,12045,8667,1861,104235,125113
85213,13012,7701,3383,77942,104014
85215,7423,4364,2519,73873,103048
85224,17653,7179,7051,75220,88976
85225,25232,10934,8859,66024,80394
85226,15032,7771,4795,91825,108480
85233,13256,7176,4157,89000,107121
85234,15787,9807,3751,91010,114694
85248,17269,10261,5964,79190,129093
85249,14047,9462,3133,121224,144446
85250,8757,3417,4407,83410,100478
85251,21671,6274,13326,71662,122491
85253,8082,5241,2349,170224,300401
85254,19040,10673,6346,97780,129564
85255,18074,11931,4814,135727,190676
85256,1621,446,419,38427,46853
85257,14958,3941,8704,65948,84233
85258,13238,6692,5338,92100,137817
85259,10034,5794,3258,111284,161030
85260,19254,8052,8925,86274,117480
85262,6034,4313,1550,138924,195176
85263,1577,1221,311,121174,150870
85264,427,135,123,68250,126116
85266,5759,4463,1141,134658,181640
85268,11500,7012,3716,87223,124322
85281,25889,4427,17795,42545,56421
85282,24431,7822,12428,61700,73501
85283,20435,7333,8826,65738,84360
85284,7406,4814,1787,127500,156784
85286,15448,9199,4022,102137,127487
85295,15781,8671,4295,101090,118579
85296,14525,9129,2851,98397,117877
85297,9279,6135,1543,107651,120443
85298,10656,8037,1756,111763,131455
85301,21921,6462,8133,38454,48381
85302,14344,5305,5663,47927,62954
85303,9776,4794,1926,58736,76493
85304,9882,5245,2741,68190,83061
85305,4297,2021,1354,84853,97550
85306,8545,3815,2979,64135,72781
85307,3986,1730,1366,62949,76991
85308,25087,13220,8079,80474,96416
85310,6890,4667,1437,102103,128361
85320,278,144,98,26250,53977
85321,1528,546,612,37418,48882
85322,252,108,118,38654,58654
85323,13318,6062,3300,59699,73234
85324,1296,410,700,37165,52192
85325,677,389,258,29696,41770
85326,16218,9961,3267,65721,78972
85328,172,76,96,38113,57327
85331,12680,8599,2941,100554,124428
85332,846,591,154,52600,59648
85333,293,117,140,29219,46277
85334,536,234,192,38393,44860
85335,10873,5347,2368,59975,67770
85336,348,86,0,36311,40016
85337,811,388,248,41278,59583
85338,16472,10918,3535,80750,95911
85339,14022,7384,2819,79310,95459
85340,12170,8264,2304,98533,112884
85342,913,395,410,44792,64742
85344,4084,1566,1613,41514,58107
85345,20384,8330,7215,52904,64524
85346,2556,1033,1195,20611,36994
85347,131,88,15,37961,44908
85348,1507,998,297,43242,50216
85349,8356,5047,1015,41648,54281
85350,6143,3552,869,52843,57494
85351,17511,7468,9318,42875,55266
85352,197,92,59,29250,39153
85353,10855,5885,1993,76179,81555
85354,2436,1616,537,63468,71350
85355,3808,2773,413,94246,108344
85356,2097,1262,570,52654,61097
85357,287,99,178,31641,32176
85360,53,21,29,54583,63487
85361,2240,1629,443,59970,78816
85362,407,205,178,41010,45779
85363,2498,828,1158,42564,53573
85364,26560,12169,8022,46644,65189
85365,19734,11421,5493,56409,71736
85367,10783,5893,4138,46939,60148
85371,109,32,33,21250,26563
85373,9212,5090,3169,60077,71146
85374,22266,12613,7073,61565,75225
85375,17328,9795,7021,57452,70882
85377,1773,1165,534,109883,161557
85379,14048,9116,2399,81310,92903
85381,9180,4686,3067,77254,92278
85382,15803,8155,5323,72553,85855
85383,18456,14039,2611,118125,141638
85387,5191,3417,1469,72675,79207
85388,9855,7155,1327,78597,95312
85390,4262,2282,1659,53352,83516
85392,12642,6344,3286,73652,88203
85395,10092,6484,2534,91920,113146
85396,8100,6348,995,99477,104392
85501,5233,2521,1687,56922,64493
85530,477,144,157,34107,47610
85531,167,95,72,78365,75138
85533,1225,613,387,56473,70302
85534,974,486,249,53730,74115
85536,170,115,34,86667,80399
85539,1584,589,575,41563,60296
85540,1056,569,280,71585,84264
85541,10310,5018,4273,51161,67608
85542,701,349,97,34848,40551
85543,1308,715,320,47333,62155
85544,1497,794,567,46820,59697
85545,370,128,235,22234,33421
85546,6199,2736,1995,52598,60620
85550,1406,459,223,34881,50268
85551,130,66,39,64919,75063
85552,2077,1333,545,63880,77000
85553,1009,376,538,42377,41101
85554,257,67,148,29952,41981
85601,416,136,244,29250,43328
85602,4064,1894,1570,50838,58471
85603,3476,1027,2018,38944,50986
85605,254,167,54,40551,42432
85606,415,239,133,51523,59466
85607,5779,2504,1739,38164,53086
85610,372,200,145,45000,67864
85611,467,277,156,61964,75275
85613,954,898,18,83167,85198
85614,13572,7144,5686,52594,69843
85615,3967,2399,1228,77731,86780
85616,2472,1200,982,45654,58370
85617,683,265,381,34028,44722
85618,611,280,181,38589,46215
85619,28,8,20,35313,37175
85620,369,106,152,38403,38261
85621,7789,3561,2335,29333,48518
85622,3435,2103,1266,62210,84327
85623,2490,1547,889,55942,83845
85624,584,293,257,38720,56251
85625,998,573,366,44211,55722
85626,261,182,56,36058,45398
85627,481,312,124,60994,70532
85629,7943,5359,1508,90645,95816
85630,938,392,413,42576,63404
85631,1722,814,654,41250,48683
85632,392,167,180,41167,53531
85634,1632,346,389,31111,42615
85635,14872,5914,6324,51701,68331
85637,476,366,87,78071,95313
85638,830,406,357,43696,56510
85641,9405,7105,1461,101108,113613
85643,3144,1652,1105,43769,57875
85645,654,371,197,44116,49366
85646,667,356,275,68267,92101
85648,6170,3592,1233,51670,73795
85650,6591,3820,2053,69437,85986
85653,7057,4108,1844,70131,77213
85658,4734,3364,931,90114,111834
85701,2750,449,1943,45862,71602
85704,15591,6394,7529,62544,91136
85705,24304,6115,12791,30885,42888
85706,17260,6095,4129,39655,50407
85708,1212,937,153,58486,61996
85710,24780,8081,12342,46055,59440
85711,17212,6007,7702,42497,54899
85712,16384,4093,9558,37524,53990
85713,16758,6546,5802,39939,50730
85714,5132,1600,2090,35260,48721
85715,8792,4092,3483,71949,94499
85716,15259,3927,9170,42147,60003
85718,12818,6400,5543,93185,142567
85719,18119,3526,12170,34013,48571
85730,15289,6389,5558,53080,64585
85735,4070,2202,1227,50938,63854
85736,1783,636,700,44426,55624
85737,9756,5703,3071,91936,108085
85739,9126,5838,2526,68558,94004
85741,13989,5663,5499,63092,73330
85742,11154,5970,3226,80808,98653
85743,11441,7410,2846,74653,88819
85745,16596,5729,7467,54996,75437
85746,15602,6649,3652,54413,64170
85747,8739,5532,1899,95241,100709
85748,7779,4230,2486,80913,97557
85749,7991,5151,2121,92238,118945
85750,11562,6116,4747,84191,130514
85755,7435,5047,2014,91817,118665
85756,11730,5525,2811,53995,68790
85757,6144,2980,1284,58961,68308
85901,7380,4071,2285,48383,62032
85911,370,135,113,15385,27516
85912,145,37,72,20563,32483
85920,315,208,99,59803,67723
85922,40,40,0,46389,58285
85923,238,112,106,41048,56308
85924,1124,689,376,41613,53167
85925,1662,1001,400,66284,72617
85927,78,78,0,76144,72914
85928,376,187,117,51792,60169
85929,3184,1461,1181,45503,62665
